#Gamma = 1.333333333333333333333333 Rcr = 8. uu1cr = -0.25 rhocr = 0.000421875
#Nx = 128 Rin = 1.9 Rout = 20. R0 = 0 xstart = 0.641853886172394775991036 dx = 0.01838967490141872044878272 istart = -11
# i	myx	myr	rho	uu1	u
5 0.742997098130197738459341 2.10222666178953209479946 0.002050059508388095057 -0.7450376592234316264 0.0007812857054150509171
6 0.761386773031616458908124 2.141243581345996674839369 0.002001599252567904682 -0.7355200135573244017 0.0007567587101204419829
7 0.779776447933035179356906 2.180984647370273505369784 0.001954373227806201643 -0.7260909958114461527 0.000733046055371428787
8 0.798166122834453899805689 2.221463299880508715886022 0.001908349081670488387 -0.7167499428695056931 0.000710119897510845047
9 0.816555797735872620254472 2.262693228338981352821315 0.001863495326465119127 -0.7074961985259292826 0.000687953363934101383
10 0.834945472637291340703254 2.304688376281738159065473 0.001819781315868729009 -0.6983291134228966756 0.000666520518768385844
11 0.853335147538710061152037 2.347462946034153478043855 0.001777177222206507405 -0.6892480449878989859 0.000645796329775968785
12 0.87172482244012878160082 2.391031403514009036021339 0.001735654014340021466 -0.6802523573717983987 0.000625756636437691298
13 0.890114497341547502049603 2.435408483123717954614982 0.001695183436157766774 -0.6713414213873691652 0.0006063781191742978629
14 0.908504172242966222498385 2.480609192733347493157219 0.001655737985650079858 -0.6625146144482986964 0.0005876382696647983177
15 0.926893847144384942947168 2.526648818756125727744227 0.001617290894552492875 -0.6537713205086269437 0.0005695153622225136431
16 0.945283522045803663395951 2.573542931318148650916457 0.00157981610854204404 -0.6451109300026016119 0.0005519884261908765065
17 0.963673196947222383844734 2.621307389524036033527833 0.00154328826797147904 -0.6365328397849260878 0.000535037219322422827
18 0.982062871848641104293516 2.66995834682031683924068 0.00150768268912668874 -0.6280364530713762934 0.0005186422021057267173
19 1.000452546750059824742299 2.719512256458358033208956 0.0014729753459931274651 -0.6196211793797619864 0.0005027845130062997721
20 1.018842221651478545191082 2.769985877058684291060326 0.0014391428525173442442 -0.6112864344712073236 0.0004874459445886985384
21 1.037231896552897265639864 2.82139627827857040364312 0.0014061624453501369537 -0.6030316402917247896 0.0004726089204882627607
22 1.055621571454315986088647 2.87376084658482309876346 0.0013740119670582065901 -0.5948562249140558602 0.0004582564732020432419
23 1.07401124635573470653743 2.927097291133704575112459 0.0013426698497915461822 -0.5867596224797510256 0.0004443722226695734301
24 1.092400921257153426986213 2.981423649759986277804046 0.001312115099394146434 -0.5787412731414610461 0.0004309403556151946163
25 1.110790596158572147434995 3.036758295077158351664775 0.0012823272799459383093 -0.5708006230054105402 0.0004179456056246623233
26 1.129180271059990867883778 3.093119940690857800119334 0.0012532864987242216894 -0.5629371240740242297 0.0004053732339297424709
27 1.147569945961409588332561 3.150527647527616666912586 0.0012249733915731492107 -0.5551502341886753755 0.0003932090108754515296
28 1.165959620862828308781343 3.209000830281070557949805 0.001197369108670145662 -0.5474394169725251404 0.0003814391980455064032
29 1.184349295764247029230126 3.268559263977807544410909 0.0011704553006784461224 -0.5398041417734208091 0.0003700505310224284511
30 1.202738970665665749678909 3.329223090665077949435938 0.0011442141052752305931 -0.5322438836068199814 0.00035903020275959304
31 1.221128645567084470127692 3.391012826222626732771477 0.0011186281340451194212 -0.5247581230987070391 0.000348365847543332468
32 1.239518320468503190576474 3.453949367300952164748622 0.0010936804597290725887 -0.5173463464284673618 0.0003380455255239871191
33 1.257907995369921911025257 3.518053998388337237028579 0.0010693546038190071006 -0.5100080452716839468 0.0003280577077955583467
34 1.27629767027134063147404 3.583348399009043807161825 0.0010456345244887105204 -0.5027427167428202604 0.0003183912620043478825
35 1.294687345172759351922822 3.649854651055103831888886 0.0010225046048518853223 -0.4955498633377523298 0.0003090354384676735042
36 1.313077020074178072371605 3.717595246254187225266605 0.0009999496415384083758 -0.4884289928761122651 0.0002999798567844302192
37 1.331466694975596792820388 3.786593093776071897413123 0.0009779548335801327405 -0.4813796184434045902 0.0002912144929199212603
38 1.349856369877015513269171 3.856871527980288403491002 0.0009565057715977951981 -0.4744012583328559625 0.0002827296667480146127
39 1.368246044778434233717953 3.928454316307559376343279 0.0009355884272808227761 -0.467493435986958072 0.0002745160300342894671
40 1.386635719679852954166736 4.001365667317702546108185 0.0009151891431520551158 -0.4606556799386627328 0.0002665645548444237338
41 1.405025394581271674615519 4.07563023887671568261092 0.000895294622609617003 -0.4538875237521874406 0.0002588665223626393376
42 1.423415069482690395064301 4.15127314649581224811667 0.0008758919202383870174 -0.4471885059633889206 0.0002514135121055672459
43 1.441804744384109115513084 4.22831997182522793619015 0.0008569684323837140557 -0.4405581700196615034 0.000244197391517419742
44 1.460194419285527835961867 4.30679677130567061432247 0.000838511887980233755 -0.4339960642193164842 0.0002372103059328640995
45 1.47858409418694655641065 4.38673008498033950135726 0.000820510339628831636 -0.4275017416503979909 0.0002304446688944802018
46 1.496973769088365276859432 4.46814694547049371360526 0.0008029521549149893071 -0.421074760128890287 0.0002238931528121554441
47 1.515363443989783997308215 4.55107488711760562424406 0.0007858260079619344351 -0.4147146821362708889 0.000217548679952224093
