Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      8.63     0.00        1     0.00     0.00  conn_func
  0.00      8.63     0.00        1     0.00     0.00  control_time_store_metric
  0.00      8.63     0.00        1     0.00     0.00  dvector
  0.00      8.63     0.00        1     0.00     0.00  dxdxprim_ijk
  0.00      8.63     0.00        1     0.00     2.81  gdump
  0.00      8.63     0.00        1     0.00   209.91  init
  0.00      8.63     0.00        1     0.00     5.01  init_conservatives
  0.00      8.63     0.00        1     0.00     0.00  init_consts
  0.00      8.63     0.00        1     0.00     0.01  init_genfiles
  0.00      8.63     0.00        1     0.00     0.00  init_global
  0.00      8.63     0.00        1     0.00     0.00  init_grid
  0.00      8.63     0.00        1     0.00     0.00  init_grid_post_set_grid
  0.00      8.63     0.00        1     0.00     0.04  init_mpi
  0.00      8.63     0.00        1     0.00     0.03  init_placeongrid
  0.00      8.63     0.00        1     0.00     0.00  interp_loop_set
  0.00      8.63     0.00        1     0.00     0.01  myexit
  0.00      8.63     0.00        1     0.00     3.96  pi2Uavg
  0.00      8.63     0.00        1     0.00     9.96  post_init_specific_init
  0.00      8.63     0.00        1     0.00     0.03  post_par_set
  0.00      8.63     0.00        1     0.00   160.44  pre_init
  0.00      8.63     0.00        1     0.00     0.01  pre_init_specific_init
  0.00      8.63     0.00        1     0.00     0.00  prepre_init_specific_init
  0.00      8.63     0.00        1     0.00     0.00  set_conn_cartminkmetric
  0.00      8.63     0.00        1     0.00     0.00  set_coord_parms
  0.00      8.63     0.00        1     0.00     0.00  set_drsing
  0.00      8.63     0.00        1     0.00     0.01  set_grid
  0.00      8.63     0.00        1     0.00     0.00  set_points
  0.00      8.63     0.00        1     0.00     0.00  write_coord_parms

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.12% of 8.63 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     98.1    0.00    8.47                 main [1]
                0.00    7.38      21/21          step_ch_full [2]
                0.00    0.88      22/22          diag [15]
                0.00    0.21       1/1           init [38]
                0.00    0.00      25/1511        trifprintf [101]
                0.00    0.00       1/1           myexit [129]
                0.00    0.00      40/4895        myfprintf [169]
                0.00    0.00      20/20          mpiisum0 [188]
-----------------------------------------------
                0.00    7.38      21/21          main [1]
[2]     85.5    0.00    7.38      21         step_ch_full [2]
                0.00    7.38      21/21          step_ch_simplempi [3]
                0.00    0.00      21/106         error_check [172]
                0.00    0.00      21/21          postdt [186]
                0.00    0.00      21/21          control_metric_update [184]
-----------------------------------------------
                0.00    7.38      21/21          step_ch_full [2]
[3]     85.5    0.00    7.38      21         step_ch_simplempi [3]
                0.00    7.20      84/84          advance [4]
                0.10    0.03     105/110         current_doprecalc [43]
                0.00    0.02      84/84          post_fixup [76]
                0.00    0.02      21/22          current_calc [77]
                0.00    0.01     168/168         bound_evolveprim [87]
                0.00    0.00     273/1511        trifprintf [101]
                0.00    0.00      84/87          pre_fixup [175]
                0.00    0.00      84/85          compute_EOS_parms [176]
                0.00    0.00      84/106         error_check [172]
                0.00    0.00      21/21          setup_rktimestep [187]
                0.00    0.00      21/31          mpifmin [182]
-----------------------------------------------
                0.00    7.20      84/84          step_ch_simplempi [3]
