#Gamma = 1.333333333333333333333333 Rcr = 8. uu1cr = -0.25 rhocr = 0.000421875
#Nx = 32 Rin = 1.9 Rout = 20. R0 = 0 xstart = 0.641853886172394775991036 dx = 0.0735586996056748817951309 istart = -11
# i	myx	myr	rho	uu1	u
28 2.738276824934128907152266 15.46032128957769971415044 0.0002301360253817342965 -0.1227106155372816083 0.00004230912714076625658
29 2.811835524539803788947396 16.6404341290647782972466 0.0002171662031522785673 -0.112248935159337075 0.00003916014031241581356
30 2.885394224145478670742527 17.910627005559955573332 0.000205356354496084882 -0.1024646468111922824 0.00003634673875929137518
31 2.958952923751153552537658 19.2777758827811648708679 0.0001946001237756835194 -0.09333548889545430798 0.00003383078467200143652
32 3.032511623356828434332789 20.7492815785496530514697 0.0001848011705891100583 -0.08483848925861156235 0.00003157869741222765453
33 3.10607032296250331612792 22.3331098278038452558398 0.0001758721700775244186 -0.07694993319716608152 0.00002956088404333688219
34 3.179629022568178197923051 24.0378344036917686126212 0.0001677339200076566465 -0.06964536168131463485 0.0000277512436436947596
35 3.253187722173853079718182 25.8726835301704161188546 0.00016031454374881194051 -0.06289960190591334229 0.00002612673573684808788
36 3.326746421779527961513312 27.8475898373584205831949 0.00015354877914315583284 -0.05668683083261447427 0.00002466700442432664217
37 3.400305121385202843308443 29.9732441300664748406522 0.00014737734404643229566 -0.05098067075235033094 0.00002335405089060804339
38 3.473863820990877725103574 32.2611532605718954588807 0.00014174637002817412516 -0.04575431420570436725 0.00002217194789157346435
39 3.547422520596552606898705 34.7237024189213244535926 0.00013660689639606140955 -0.04098067400034876026 0.0000211065906596070634
40 3.620981220202227488693836 37.3742221779590681345665 0.00013191441737188039219 -0.03663255270845521245 0.00002014547937877515197
41 3.694539919807902370488967 40.2270606560174356272388 0.00012762847591118241228 -0.03268282503946879355 0.00001927752901721918231
42 3.768098619413577252284098 43.2976611879089946273277 0.00012371229833011972695 -0.02910462595152020212 0.00001849290286281020915
